,month,repository_name,repository_url,new_stars,repository_created_at,repository_language,t_stars
69,2014-01,tether,https://github.com/HubSpot/tether,1981,,,
70,2013-12,SpinKit,https://github.com/tobiasahlin/SpinKit,4406,2013-12-12 23:29:41,null,4504.0
71,2013-12,How-to-Make-a-Computer-Operating-System,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System,4004,,,
72,2013-12,resume.github.com,https://github.com/resume/resume.github.com,2993,2011-02-06 13:39:55,JavaScript,7624.0
73,2013-12,jquery.adaptive-backgrounds.js,https://github.com/briangonzalez/jquery.adaptive-backgrounds.js,2922,2013-11-16 20:32:05,JavaScript,2911.0
74,2013-12,headroom.js,https://github.com/WickyNilliams/headroom.js,2726,2013-08-07 20:42:58,JavaScript,2821.0
75,2013-12,websocketd,https://github.com/joewalnes/websocketd,2683,2013-02-14 14:52:55,Go,2694.0
76,2013-12,myth,https://github.com/segmentio/myth,2514,2013-12-16 09:22:19,CSS,2495.0
77,2013-12,Craft,https://github.com/fogleman/Craft,2061,2013-04-09 19:47:38,C,2021.0
78,2013-12,koa,https://github.com/koajs/koa,2011,2013-07-20 18:53:45,JavaScript,2249.0
79,2013-12,free-programming-books,https://github.com/vhf/free-programming-books,1968,2013-10-11 06:50:37,null,14926.0
80,2013-11,resume.github.com,https://github.com/resume/resume.github.com,6471,2011-02-06 13:39:55,JavaScript,5338.0
81,2013-11,javascript,https://github.com/airbnb/javascript,3810,2012-11-01 23:13:50,null,6876.0
82,2013-11,ink,https://github.com/zurb/ink,2840,2013-09-18 20:13:27,PHP,2830.0
83,2013-11,PixelKit-Bootstrap-UI-Kits,https://github.com/Pixelkit/PixelKit-Bootstrap-UI-Kits,2686,2013-10-25 15:01:53,CSS,3435.0
84,2013-11,free-programming-books,https://github.com/vhf/free-programming-books,2502,2013-10-11 06:50:37,null,13056.0
85,2013-11,martini,https://github.com/codegangsta/martini,2141,2013-10-30 02:34:07,Go,2122.0
86,2013-11,Android-Bootstrap,https://github.com/Bearded-Hen/Android-Bootstrap,2090,,,
