,month,repository_name,repository_url,new_stars
216,2012-10,bootmetro,https://github.com/aozora/bootmetro,773
217,2012-10,syte,https://github.com/rigoneri/syte,770
218,2012-10,scripted,https://github.com/scripted-editor/scripted,747
219,2012-10,Makisu,https://github.com/soulwire/Makisu,727
220,2012-09,bower,https://github.com/twitter/bower,2937
221,2012-09,bootstrap,https://github.com/twitter/bootstrap,2494
222,2012-09,tomorrow-theme,https://github.com/chriskempson/tomorrow-theme,2347
223,2012-09,yeoman,https://github.com/yeoman/yeoman,1930
224,2012-09,xiki,https://github.com/trogdoro/xiki,1245
225,2012-09,html5-boilerplate,https://github.com/h5bp/html5-boilerplate,1226
226,2012-09,textmate,https://github.com/textmate/textmate,1151
227,2012-09,glances,https://github.com/nicolargo/glances,1126
228,2012-09,reveal.js,https://github.com/hakimel/reveal.js,1102
229,2012-09,jquery.avgrund.js,https://github.com/voronianski/jquery.avgrund.js,1054
230,2012-08,textmate,https://github.com/textmate/textmate,8862
231,2012-08,bootstrap,https://github.com/twitter/bootstrap,7848
232,2012-08,piecon,https://github.com/lipka/piecon,3184
233,2012-08,html5-boilerplate,https://github.com/h5bp/html5-boilerplate,2920
234,2012-08,normalize.css,https://github.com/necolas/normalize.css,2730
235,2012-08,bootstrap-daterangepicker,https://github.com/dangrossman/bootstrap-daterangepicker,2650
236,2012-08,BigVideo.js,https://github.com/dfcb/BigVideo.js,2312
237,2012-08,d3,https://github.com/mbostock/d3,2164
238,2012-08,infinity,https://github.com/airbnb/infinity,2106
239,2012-08,reveal.js,https://github.com/hakimel/reveal.js,2070
240,2012-07,bootstrap,https://github.com/twitter/bootstrap,4730
241,2012-07,mousetrap,https://github.com/ccampbell/mousetrap,3538
242,2012-07,httpie,https://github.com/jkbr/httpie,2480
243,2012-07,brackets,https://github.com/adobe/brackets,2432
244,2012-07,node,https://github.com/joyent/node,1718
245,2012-07,android,https://github.com/github/android,1716
246,2012-07,jquery,https://github.com/jquery/jquery,1714
247,2012-07,meteor,https://github.com/meteor/meteor,1624
248,2012-07,dotfiles,https://github.com/mathiasbynens/dotfiles,1608
249,2012-07,foundation,https://github.com/zurb/foundation,1606
250,2012-06,gmaps,https://github.com/HPNeo/gmaps,6256
251,2012-06,bootstrap,https://github.com/twitter/bootstrap,5300
252,2012-06,folly,https://github.com/facebook/folly,4700
253,2012-06,brackets,https://github.com/adobe/brackets,4639
254,2012-06,select2,https://github.com/ivaynberg/select2,4249
255,2012-06,Font-Awesome,https://github.com/FortAwesome/Font-Awesome,3800
256,2012-06,idiomatic-css,https://github.com/necolas/idiomatic-css,3148
257,2012-06,chosen,https://github.com/harvesthq/chosen,3053
258,2012-06,angular.js,https://github.com/angular/angular.js,2209
259,2012-06,node,https://github.com/joyent/node,2121
260,2012-05,bootstrap,https://github.com/twitter/bootstrap,6846
261,2012-05,wysihtml5,https://github.com/xing/wysihtml5,5673
262,2012-05,brackets,https://github.com/adobe/brackets,4329
263,2012-05,jQuery-Knob,https://github.com/aterrien/jQuery-Knob,3225
264,2012-05,django,https://github.com/django/django,3102
265,2012-05,XobotOS,https://github.com/xamarin/XobotOS,2526
266,2012-05,node,https://github.com/joyent/node,2520
267,2012-05,d3,https://github.com/mbostock/d3,2289
268,2012-05,jquery,https://github.com/jquery/jquery,2133
269,2012-05,vert.x,https://github.com/purplefox/vert.x,1917
270,2012-04,meteor,https://github.com/meteor/meteor,7539
271,2012-04,bootstrap,https://github.com/twitter/bootstrap,7464
